epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,15733.7,0.75492,0.57313,1.129,0.95772,0.92909,0.9797,0.80368,0.70021,0.38665,1.02297,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,15916.9,0.75081,0.57124,1.12868,0.95692,0.92952,0.9797,0.8042,0.69809,0.38536,1.02151,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,16099.6,0.75577,0.57601,1.12928,0.95764,0.92941,0.97927,0.80555,0.69675,0.3844,1.02075,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,16282.7,0.75327,0.56988,1.12789,0.96002,0.92542,0.97909,0.80632,0.69536,0.38365,1.01943,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,16465.3,0.74542,0.56101,1.12242,0.95737,0.92919,0.97932,0.80644,0.69384,0.38215,1.01845,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,16649.4,0.74536,0.56113,1.12591,0.95737,0.92836,0.97933,0.80725,0.69264,0.3814,1.01768,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,16833.1,0.74436,0.56942,1.12549,0.96507,0.92045,0.97919,0.80571,0.69135,0.38037,1.01741,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,17015.7,0.73341,0.56178,1.11674,0.9695,0.91956,0.97937,0.80584,0.69089,0.3793,1.01751,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,17198.2,0.74257,0.5553,1.11462,0.9651,0.91957,0.97939,0.80943,0.68981,0.37826,1.01673,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,17381.8,0.74286,0.55994,1.12115,0.96538,0.91964,0.97959,0.8097,0.68809,0.37742,1.01582,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,17564.6,0.73617,0.55738,1.11623,0.96604,0.91946,0.97934,0.81152,0.68657,0.37711,1.01452,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,17747.8,0.73654,0.56303,1.12138,0.93154,0.95155,0.97971,0.81082,0.68587,0.37674,1.01433,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,17930.3,0.73316,0.55297,1.11776,0.96193,0.92294,0.9795,0.81228,0.68455,0.37628,1.01375,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,18114.1,0.7251,0.55251,1.11222,0.96011,0.9257,0.9797,0.81356,0.68251,0.37594,1.01251,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,18296.8,0.72325,0.55151,1.11036,0.95972,0.92587,0.97978,0.81316,0.68149,0.37549,1.01177,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,18479.8,0.72222,0.54969,1.11095,0.96074,0.928,0.97994,0.8114,0.68043,0.37494,1.01134,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,18662.5,0.72381,0.54562,1.11,0.95941,0.93028,0.98004,0.81133,0.67939,0.37412,1.01104,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,18845.6,0.71889,0.53893,1.1063,0.95822,0.93122,0.97997,0.81264,0.67858,0.3733,1.01063,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,19027.9,0.71645,0.5353,1.10723,0.95847,0.93056,0.98008,0.81279,0.67719,0.37344,1.00976,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,19211.5,0.7086,0.5346,1.10642,0.95851,0.92957,0.97997,0.81306,0.67571,0.37291,1.00899,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,19394.2,0.7101,0.53473,1.10643,0.95882,0.92914,0.98002,0.81361,0.67456,0.37213,1.00883,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,19577.3,0.70594,0.53262,1.09931,0.9597,0.92931,0.98012,0.81299,0.67354,0.37176,1.00856,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
