epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,19212.1,1.26794,1.26272,1.39054,0.84731,0.8281,0.86426,0.5061,1.34505,0.72583,1.43625,0.0124984,0.00416614,0.0124984,0.00416614,0.0124984,0.00416614,0.0124984,0.00416614
80,19457,1.26037,1.2749,1.39245,0.85111,0.82558,0.86406,0.50775,1.34428,0.7247,1.43581,0.0121712,0.00405708,0.0121712,0.00405708,0.0121712,0.00405708,0.0121712,0.00405708
81,19701,1.26032,1.26035,1.38867,0.84918,0.82763,0.86377,0.5078,1.34392,0.72349,1.43531,0.0118456,0.00394852,0.0118456,0.00394852,0.0118456,0.00394852,0.0118456,0.00394852
82,19944.6,1.2562,1.25184,1.37971,0.84841,0.82793,0.86355,0.50758,1.34385,0.7223,1.43482,0.0115215,0.00384051,0.0115215,0.00384051,0.0115215,0.00384051,0.0115215,0.00384051
83,20189.8,1.24089,1.25276,1.36973,0.84861,0.82909,0.86354,0.50796,1.34364,0.72118,1.43432,0.0111994,0.00373312,0.0111994,0.00373312,0.0111994,0.00373312,0.0111994,0.00373312
84,20432.4,1.24209,1.24439,1.37369,0.85066,0.82974,0.86366,0.50791,1.34332,0.72043,1.43383,0.0108791,0.00362638,0.0108791,0.00362638,0.0108791,0.00362638,0.0108791,0.00362638
85,20677,1.2456,1.2461,1.37464,0.84792,0.8288,0.86271,0.50722,1.34331,0.71978,1.4334,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
86,20919.7,1.2351,1.24159,1.37159,0.84975,0.83314,0.86303,0.5079,1.34309,0.71878,1.43303,0.0102454,0.00341512,0.0102454,0.00341512,0.0102454,0.00341512,0.0102454,0.00341512
87,21160.2,1.22976,1.2278,1.3637,0.84787,0.83411,0.86379,0.50765,1.34263,0.71813,1.43236,0.00993208,0.00331069,0.00993208,0.00331069,0.00993208,0.00331069,0.00993208,0.00331069
88,21400.7,1.22645,1.21767,1.3613,0.84637,0.83627,0.86294,0.50824,1.34211,0.71756,1.43154,0.00962144,0.00320715,0.00962144,0.00320715,0.00962144,0.00320715,0.00962144,0.00320715
89,21641.5,1.22698,1.22272,1.3584,0.84341,0.83853,0.86346,0.50823,1.34154,0.71699,1.43055,0.00931358,0.00310453,0.00931358,0.00310453,0.00931358,0.00310453,0.00931358,0.00310453
90,21885.9,1.22157,1.21825,1.35109,0.84172,0.83968,0.8637,0.50872,1.34077,0.7161,1.42935,0.00900866,0.00300289,0.00900866,0.00300289,0.00900866,0.00300289,0.00900866,0.00300289
91,22127.9,1.21906,1.22425,1.35061,0.8391,0.84082,0.86348,0.50867,1.34009,0.7165,1.4284,0.00870683,0.00290228,0.00870683,0.00290228,0.00870683,0.00290228,0.00870683,0.00290228
92,22371.1,1.21857,1.21776,1.35301,0.83497,0.83856,0.85928,0.50921,1.34001,0.71519,1.42844,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
