epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5963.26,1.34618,1.09571,1.51078,0.8269,0.74065,0.82242,0.48012,1.40688,0.8431,1.58824,0.008185,0.008185,0.008185
57,6065.68,1.33604,1.08265,1.49849,0.80415,0.76058,0.81979,0.4894,1.39883,0.839,1.57466,0.008152,0.008152,0.008152
58,6168.78,1.33527,1.08477,1.50113,0.80383,0.77894,0.83698,0.49448,1.39288,0.83578,1.55622,0.008119,0.008119,0.008119
59,6273.34,1.33168,1.07714,1.50444,0.79776,0.75937,0.82554,0.48465,1.40706,0.84498,1.58097,0.008086,0.008086,0.008086
60,6376.19,1.32064,1.06786,1.49068,0.83187,0.75386,0.82834,0.48402,1.40474,0.82463,1.57864,0.008053,0.008053,0.008053
61,6478.43,1.31663,1.07536,1.48495,0.80017,0.75872,0.8208,0.48903,1.38164,0.82422,1.54919,0.00802,0.00802,0.00802
62,6581.89,1.31301,1.04278,1.47415,0.812,0.76919,0.83391,0.48158,1.39218,0.80366,1.56067,0.007987,0.007987,0.007987
63,6685.72,1.30961,1.04942,1.4768,0.80823,0.77099,0.83359,0.49058,1.39066,0.79999,1.54933,0.007954,0.007954,0.007954
64,6789.22,1.31235,1.04614,1.47549,0.80448,0.76115,0.82413,0.48242,1.39063,0.80695,1.5594,0.007921,0.007921,0.007921
65,6892.22,1.3018,1.01868,1.47662,0.8255,0.7553,0.83277,0.48702,1.383,0.78673,1.55651,0.007888,0.007888,0.007888
66,6998.22,1.28944,1.02914,1.47242,0.78944,0.76947,0.8285,0.48722,1.37099,0.79233,1.54417,0.007855,0.007855,0.007855
67,7101.72,1.29976,1.02301,1.47814,0.80284,0.77614,0.83942,0.49715,1.37918,0.78569,1.5531,0.007822,0.007822,0.007822
68,7204.64,1.29558,1.0088,1.46222,0.83072,0.78069,0.84684,0.50709,1.37377,0.77108,1.55049,0.007789,0.007789,0.007789
